Reel Number,Extracted Text
1,"If there is a page dedicated to
how things are formed

Follow @howthingsformed"
10,"If there is a page dedicated to
how things are formed

Follow @howthingsformed"
100,"If only there was a page dedicated to
how things are formed

Me AST"
1000,"HOW SADDLES ARE
MADE"
1001,"HOW FIRECRACKER IS
MADE"
1002,"MAKING A HANDMADE
PEN"
101,"If only there was a page dedicated to
how things are formed"
102,"If only there was a page dedicated to
how things are formed"
103,"If only there was a page dedicated to
how things are formed"
104,"If only there was a page dedicated to
how things are formed"
105,"If only there was a page dedicated to
how things are formed"
106,"If only there was a page dedicated to
how things are formed"
107,"If only there was a page dedicated to
how things are formed"
108,"If only there was a page dedicated to
how things are formed"
109,"If only there was a page dedicated to
how things are formed

Follow (@howthingsformed"
11,"If there is a page dedicated to
how things are formed

. |
Follow @howthingsformed"
110,"If only there was a page dedicated to
how things are formed

Follow @howthingsformed"
111,"If only there was a page dedicated to
how things are formed"
112,"If only there was a page dedicated to
how things are formed"
113,"If only there was a page dedicated to
how things are formed"
114,"If only there was a page dedicated to
how things are formed"
115,"If only there was a page dedicated to
how things are formed"
116,"If only there was a page dedicated to
how things are formed"
117,"If only there was a page dedicated to
how things are formed"
118,"If only there was a page dedicated to
how things are formed"
119,"If only there was a page dedicated to
how things are formed"
12,"If there is a page dedicated to
how things are formed

Follow @howthingsformed"
120,If only there was a page dedicated to
121,"If only there was a page dedicated to
how things are formed"
122,"If only there was a page dedicated to
how things are formed"
123,"If only there was a page dedicated to
how things are formed"
124,"If only there was a page dedicated to
how things are formed"
125,"If only there was a page dedicated to
how things are formed"
126,"If only there was a page dedicated to
how things are formed"
127,"If only there was a page dedicated to
how things are formed"
128,"If only there was a page dedicated to
how things are formed"
129,"If only there was a page dedicated to
how things are formed

Gre"
13,"If there is a page dedicated to
how things are formed

Follow @howthingsformed"
130,"If only there was a page dedicated to
how things are formed"
131,"If only there was a page dedicated to
how things are formed"
132,"If only there was a page dedicated to
how things are formed"
133,"If only there was a page dedicated to
how things are formed"
134,"If only there was a page dedicated to
how things are formed

——"
135,"If only there was a page dedicated to
how things are formed"
136,"If only there was a page dedicated to
how things are formed"
137,"If only there was a page dedicated to
how things are formed"
138,"If only there was a page dedicated to
how things are formed"
139,"If only there was a page dedicated to
how things are formed"
14,"If there is a page dedicated to
how things are formed

Follow @howthingsformed"
140,
